image_path,filename,part,quality,index,split,image_size
train\major_defect\bumper_major_defect_00_0160.jpg,bumper_major_defect_00_0160.jpg,bumper,major_defect,0,train,"[256, 256]"
train\major_defect\bumper_major_defect_01_0161.jpg,bumper_major_defect_01_0161.jpg,bumper,major_defect,1,train,"[256, 256]"
train\major_defect\bumper_major_defect_02_0162.jpg,bumper_major_defect_02_0162.jpg,bumper,major_defect,2,train,"[256, 256]"
train\major_defect\bumper_major_defect_05_0165.jpg,bumper_major_defect_05_0165.jpg,bumper,major_defect,5,train,"[256, 256]"
train\major_defect\bumper_major_defect_06_0166.jpg,bumper_major_defect_06_0166.jpg,bumper,major_defect,6,train,"[256, 256]"
train\major_defect\bumper_major_defect_07_0167.jpg,bumper_major_defect_07_0167.jpg,bumper,major_defect,7,train,"[256, 256]"
train\major_defect\bumper_major_defect_08_0168.jpg,bumper_major_defect_08_0168.jpg,bumper,major_defect,8,train,"[256, 256]"
train\major_defect\bumper_major_defect_09_0169.jpg,bumper_major_defect_09_0169.jpg,bumper,major_defect,9,train,"[256, 256]"
train\major_defect\bumper_major_defect_11_0171.jpg,bumper_major_defect_11_0171.jpg,bumper,major_defect,11,train,"[256, 256]"
train\major_defect\bumper_major_defect_12_0172.jpg,bumper_major_defect_12_0172.jpg,bumper,major_defect,12,train,"[256, 256]"
train\major_defect\bumper_major_defect_13_0173.jpg,bumper_major_defect_13_0173.jpg,bumper,major_defect,13,train,"[256, 256]"
train\major_defect\bumper_major_defect_15_0175.jpg,bumper_major_defect_15_0175.jpg,bumper,major_defect,15,train,"[256, 256]"
train\major_defect\bumper_major_defect_16_0176.jpg,bumper_major_defect_16_0176.jpg,bumper,major_defect,16,train,"[256, 256]"
train\major_defect\bumper_major_defect_17_0177.jpg,bumper_major_defect_17_0177.jpg,bumper,major_defect,17,train,"[256, 256]"
train\major_defect\bumper_major_defect_18_0178.jpg,bumper_major_defect_18_0178.jpg,bumper,major_defect,18,train,"[256, 256]"
train\major_defect\bumper_major_defect_19_0179.jpg,bumper_major_defect_19_0179.jpg,bumper,major_defect,19,train,"[256, 256]"
train\major_defect\door_major_defect_00_0040.jpg,door_major_defect_00_0040.jpg,door,major_defect,0,train,"[256, 256]"
train\major_defect\door_major_defect_01_0041.jpg,door_major_defect_01_0041.jpg,door,major_defect,1,train,"[256, 256]"
train\major_defect\door_major_defect_02_0042.jpg,door_major_defect_02_0042.jpg,door,major_defect,2,train,"[256, 256]"
train\major_defect\door_major_defect_03_0043.jpg,door_major_defect_03_0043.jpg,door,major_defect,3,train,"[256, 256]"
train\major_defect\door_major_defect_04_0044.jpg,door_major_defect_04_0044.jpg,door,major_defect,4,train,"[256, 256]"
train\major_defect\door_major_defect_05_0045.jpg,door_major_defect_05_0045.jpg,door,major_defect,5,train,"[256, 256]"
train\major_defect\door_major_defect_06_0046.jpg,door_major_defect_06_0046.jpg,door,major_defect,6,train,"[256, 256]"
train\major_defect\door_major_defect_07_0047.jpg,door_major_defect_07_0047.jpg,door,major_defect,7,train,"[256, 256]"
train\major_defect\door_major_defect_08_0048.jpg,door_major_defect_08_0048.jpg,door,major_defect,8,train,"[256, 256]"
train\major_defect\door_major_defect_09_0049.jpg,door_major_defect_09_0049.jpg,door,major_defect,9,train,"[256, 256]"
train\major_defect\door_major_defect_10_0050.jpg,door_major_defect_10_0050.jpg,door,major_defect,10,train,"[256, 256]"
train\major_defect\door_major_defect_11_0051.jpg,door_major_defect_11_0051.jpg,door,major_defect,11,train,"[256, 256]"
train\major_defect\door_major_defect_12_0052.jpg,door_major_defect_12_0052.jpg,door,major_defect,12,train,"[256, 256]"
train\major_defect\door_major_defect_14_0054.jpg,door_major_defect_14_0054.jpg,door,major_defect,14,train,"[256, 256]"
train\major_defect\door_major_defect_15_0055.jpg,door_major_defect_15_0055.jpg,door,major_defect,15,train,"[256, 256]"
train\major_defect\door_major_defect_16_0056.jpg,door_major_defect_16_0056.jpg,door,major_defect,16,train,"[256, 256]"
train\major_defect\door_major_defect_17_0057.jpg,door_major_defect_17_0057.jpg,door,major_defect,17,train,"[256, 256]"
train\major_defect\door_major_defect_18_0058.jpg,door_major_defect_18_0058.jpg,door,major_defect,18,train,"[256, 256]"
train\major_defect\door_major_defect_19_0059.jpg,door_major_defect_19_0059.jpg,door,major_defect,19,train,"[256, 256]"
train\major_defect\fender_major_defect_01_0221.jpg,fender_major_defect_01_0221.jpg,fender,major_defect,1,train,"[256, 256]"
train\major_defect\fender_major_defect_02_0222.jpg,fender_major_defect_02_0222.jpg,fender,major_defect,2,train,"[256, 256]"
train\major_defect\fender_major_defect_03_0223.jpg,fender_major_defect_03_0223.jpg,fender,major_defect,3,train,"[256, 256]"
train\major_defect\fender_major_defect_04_0224.jpg,fender_major_defect_04_0224.jpg,fender,major_defect,4,train,"[256, 256]"
train\major_defect\fender_major_defect_05_0225.jpg,fender_major_defect_05_0225.jpg,fender,major_defect,5,train,"[256, 256]"
train\major_defect\fender_major_defect_06_0226.jpg,fender_major_defect_06_0226.jpg,fender,major_defect,6,train,"[256, 256]"
train\major_defect\fender_major_defect_08_0228.jpg,fender_major_defect_08_0228.jpg,fender,major_defect,8,train,"[256, 256]"
train\major_defect\fender_major_defect_10_0230.jpg,fender_major_defect_10_0230.jpg,fender,major_defect,10,train,"[256, 256]"
train\major_defect\fender_major_defect_11_0231.jpg,fender_major_defect_11_0231.jpg,fender,major_defect,11,train,"[256, 256]"
train\major_defect\fender_major_defect_12_0232.jpg,fender_major_defect_12_0232.jpg,fender,major_defect,12,train,"[256, 256]"
train\major_defect\fender_major_defect_13_0233.jpg,fender_major_defect_13_0233.jpg,fender,major_defect,13,train,"[256, 256]"
train\major_defect\fender_major_defect_14_0234.jpg,fender_major_defect_14_0234.jpg,fender,major_defect,14,train,"[256, 256]"
train\major_defect\fender_major_defect_15_0235.jpg,fender_major_defect_15_0235.jpg,fender,major_defect,15,train,"[256, 256]"
train\major_defect\fender_major_defect_17_0237.jpg,fender_major_defect_17_0237.jpg,fender,major_defect,17,train,"[256, 256]"
train\major_defect\fender_major_defect_18_0238.jpg,fender_major_defect_18_0238.jpg,fender,major_defect,18,train,"[256, 256]"
train\major_defect\fender_major_defect_19_0239.jpg,fender_major_defect_19_0239.jpg,fender,major_defect,19,train,"[256, 256]"
train\major_defect\headlight_major_defect_01_0521.jpg,headlight_major_defect_01_0521.jpg,headlight,major_defect,1,train,"[256, 256]"
train\major_defect\headlight_major_defect_02_0522.jpg,headlight_major_defect_02_0522.jpg,headlight,major_defect,2,train,"[256, 256]"
train\major_defect\headlight_major_defect_03_0523.jpg,headlight_major_defect_03_0523.jpg,headlight,major_defect,3,train,"[256, 256]"
train\major_defect\headlight_major_defect_04_0524.jpg,headlight_major_defect_04_0524.jpg,headlight,major_defect,4,train,"[256, 256]"
train\major_defect\headlight_major_defect_05_0525.jpg,headlight_major_defect_05_0525.jpg,headlight,major_defect,5,train,"[256, 256]"
train\major_defect\headlight_major_defect_07_0527.jpg,headlight_major_defect_07_0527.jpg,headlight,major_defect,7,train,"[256, 256]"
train\major_defect\headlight_major_defect_08_0528.jpg,headlight_major_defect_08_0528.jpg,headlight,major_defect,8,train,"[256, 256]"
train\major_defect\headlight_major_defect_09_0529.jpg,headlight_major_defect_09_0529.jpg,headlight,major_defect,9,train,"[256, 256]"
